date,ADX
2000-04-28,66.9405
2000-05-31,62.5592
2000-06-30,61.2788
2000-07-31,61.8566
2000-08-31,56.5489
2000-09-29,64.3007
2000-10-31,73.125
2000-11-30,79.8084
2000-12-29,58.1871
2001-01-31,47.3713
2001-02-28,34.6173
2001-03-30,35.8904
2001-04-30,36.7391
2001-05-31,38.4248
2001-06-29,39.5486
2001-07-31,43.0707
2001-08-31,45.4187
2001-09-28,45.0717
2001-10-31,38.2257
2001-11-30,34.2598
2001-12-31,42.3288
2002-01-31,50.1495
2002-02-28,55.8513
2002-03-28,49.1199
2002-04-30,45.0223
2002-05-31,58.4676
2002-06-28,70.2701
2002-07-31,78.8548
2002-08-30,81.4538
2002-09-30,70.1606
2002-10-31,55.1307
2002-11-29,37.1788
2002-12-31,43.1757
2003-01-31,47.1736
2003-02-28,56.0136
2003-03-31,52.7236
2003-04-30,35.6657
2003-05-30,42.8278
2003-06-30,50.49
2003-07-31,40.4981
2003-08-29,37.0563
2003-09-30,34.4626
2003-10-31,32.7335
2003-11-28,37.0047
2003-12-31,47.0285
2004-01-30,38.4885
2004-02-27,29.0576
2004-03-31,36.9837
2004-04-30,34.5742
2004-05-28,36.7044
2004-06-30,26.7562
2004-07-30,35.8154
2004-08-31,33.5903
2004-09-30,29.9932
2004-10-29,26.1793
2004-11-30,31.4342
2004-12-31,42.4033
2005-01-31,51.2
2005-02-28,56.6697
2005-03-31,39.891
2005-04-29,44.6143
2005-05-31,47.7631
2005-06-30,49.8623
2005-07-29,47.9855
2005-08-31,50.7941
2005-09-30,60.4659
2005-10-31,66.9138
2005-11-30,75.4866
2005-12-30,81.2018
2006-01-31,54.4732
2006-02-28,43.4476
2006-03-31,41.2991
2006-04-28,33.7568
2006-05-31,28.7286
2006-06-30,21.1768
2006-07-31,39.2312
2006-08-31,53.162
2006-09-29,63.1403
2006-10-31,50.1923
2006-11-30,33.5692
2006-12-29,31.2496
2007-01-31,46.9904
2007-02-28,59.01
2007-03-30,69.0969
2007-04-30,77.0688
2007-05-31,82.4387
2007-06-29,57.1512
2007-07-31,53.2521
2007-08-31,35.81
2007-09-28,24.182
2007-10-31,29.534
2007-11-30,39.528
2007-12-31,50.1806
2008-01-31,38.9883
2008-02-29,31.5267
2008-03-31,41.5004
2008-04-30,48.1494
2008-05-30,34.994
2008-06-30,25.1013
2008-07-31,33.0923
2008-08-29,43.6644
2008-09-30,54.1127
2008-10-31,59.0394
2008-11-28,62.3239
2008-12-31,64.5135
2009-01-30,47.4144
2009-02-27,38.4816
2009-03-31,37.8513
2009-04-30,45.5088
2009-05-29,50.8824
2009-06-30,34.3217
2009-07-31,26.3051
2009-08-31,20.9608
2009-09-30,33.7427
2009-10-30,48.4324
2009-11-30,60.9099
2009-12-31,69.6282
2010-01-29,77.0738
2010-02-26,77.9311
2010-03-31,79.8205
2010-04-30,61.9021
2010-05-28,64.0149
2010-06-30,65.4233
2010-07-30,69.0167
2010-08-31,47.8302
2010-09-30,39.4103
2010-10-29,39.8424
2010-11-30,43.911
2010-12-31,46.6234
2011-01-31,53.0196
2011-02-28,57.2837
2011-03-31,43.4482
2011-04-29,48.4421
2011-05-31,55.3685
2011-06-30,49.5073
2011-07-29,50.3879
2011-08-31,50.4988
2011-09-30,44.5019
2011-10-31,36.0667
2011-11-30,30.4433
2011-12-30,37.0487
2012-01-31,43.4895
2012-02-29,49.8212
2012-03-30,63.0091
2012-04-30,72.5558
2012-05-31,79.3573
2012-06-29,60.0045
2012-07-31,59.1537
2012-08-31,60.574
2012-09-28,67.8854
2012-10-31,74.816
2012-11-30,58.8126
2012-12-31,51.281
2013-01-31,63.7222
2013-02-28,68.6078
2013-03-28,71.9079
2013-04-30,64.2525
2013-05-31,53.161
2013-06-28,48.4491
2013-07-31,48.5617
2013-08-30,50.4836
2013-09-30,54.038
2013-10-31,39.5649
2013-11-29,38.7045
2013-12-31,33.0064
2014-01-31,39.3922
2014-02-28,44.4719
2014-03-31,51.6007
2014-04-30,40.6501
2014-05-30,30.8261
2014-06-30,36.4891
2014-07-31,49.1398
2014-08-29,57.5736
2014-09-30,66.8197
2014-10-31,49.2877
2014-11-28,35.6744
2014-12-31,39.4296
2015-01-30,41.933
2015-02-27,52.8628
2015-03-31,60.1494
2015-04-30,67.6272
2015-05-29,74.5298
2015-06-30,80.6351
2015-07-31,85.6964
2015-08-31,75.0978
2015-09-30,73.6264
2015-10-30,70.9127
2015-11-30,58.0689
2015-12-31,49.5064
2016-01-29,61.0636
2016-02-29,68.7684
2016-03-31,53.9087
2016-04-29,43.3116
2016-05-31,32.4147
2016-06-30,26.0468
2016-07-29,37.7244
2016-08-31,46.8203
2016-09-30,38.6596
2016-10-31,28.6077
2016-11-30,30.975
2016-12-30,35.1192
2017-01-31,30.6855
2017-02-28,42.5991
2017-03-31,50.922
2017-04-28,35.0585
2017-05-31,32.5897
2017-06-30,44.4416
2017-07-31,55.0175
2017-08-31,62.068
2017-09-29,71.3744
2017-10-31,78.594
2017-11-30,83.4071
2017-12-29,87.3388
2018-01-31,91.1104
2018-02-28,76.3422
2018-03-29,70.0062
2018-04-30,53.5805
2018-05-31,52.7835
2018-06-29,55.5368
2018-07-31,61.9765
2018-08-31,68.5666
2018-09-28,76.8401
2018-10-31,82.5315
2018-11-30,86.3596
2018-12-31,61.2562
2019-01-31,44.5207
2019-02-28,53.1613
2019-03-29,62.1499
2019-04-30,43.2476
2019-05-31,30.646
2019-06-28,41.6129
2019-07-31,53.0291
2019-08-30,49.456
2019-09-30,44.2549
2019-10-09,35.9273
