date,OBV
1999-11-30,10453200.0
1999-12-31,-4681700.0
2000-01-31,8112700.0
2000-02-29,-2489400.0
2000-03-31,-15969600.0
2000-04-28,-1645900.0
2000-05-31,-21680300.0
2000-06-30,-8388800.0
2000-07-31,8888300.0
2000-08-31,29762800.0
2000-09-29,68541400.0
2000-10-31,52197700.0
2000-11-30,25166400.0
2000-12-29,39843500.0
2001-01-31,57845900.0
2001-02-28,69949100.0
2001-03-30,51796500.0
2001-04-30,32842000.0
2001-05-31,51882600.0
2001-06-29,70517600.0
2001-07-31,85862100.0
2001-08-31,62852700.0
2001-09-28,51731700.0
2001-10-31,23746900.0
2001-11-30,-24648000.0
2001-12-31,-1235400.0
2002-01-31,-13185100.0
2002-02-28,-27046000.0
2002-03-28,-49174100.0
2002-04-30,-75222300.0
2002-05-31,-61317200.0
2002-06-28,-71883900.0
2002-07-31,-95294500.0
2002-08-30,-83668400.0
2002-09-30,-70321100.0
2002-10-31,-54877000.0
2002-11-29,-38024900.0
2002-12-31,-51446400.0
2003-01-31,-28808900.0
2003-02-28,-10813200.0
2003-03-31,-48403300.0
2003-04-30,-23743000.0
2003-05-30,18961000.0
2003-06-30,51326000.0
2003-07-31,30940400.0
2003-08-29,56057300.0
2003-09-30,77824700.0
2003-10-31,58957800.0
2003-11-28,84737300.0
2003-12-31,61302800.0
2004-01-30,82333500.0
2004-02-27,65697100.0
2004-03-31,45335000.0
2004-04-30,9360300.0
2004-05-28,36801300.0
2004-06-30,-13517400.0
2004-07-30,-44358400.0
2004-08-31,-17230900.0
2004-09-30,6653500.0
2004-10-29,-16137600.0
2004-11-30,2013900.0
2004-12-31,28945200.0
2005-01-31,11158800.0
2005-02-28,38601700.0
2005-03-31,18637800.0
2005-04-29,1470700.0
2005-05-31,26075900.0
2005-06-30,13514300.0
2005-07-29,30577700.0
2005-08-31,55017100.0
2005-09-30,74817600.0
2005-10-31,55379300.0
2005-11-30,36602900.0
2005-12-30,19343500.0
2006-01-31,35348900.0
2006-02-28,12722500.0
2006-03-31,-10004800.0
2006-04-28,-24183100.0
2006-05-31,-52520900.0
2006-06-30,-74194700.0
2006-07-31,-93333600.0
2006-08-31,-72549800.0
2006-09-29,-59408900.0
2006-10-31,-45271500.0
2006-11-30,-66944300.0
2006-12-29,-50244600.0
2007-01-31,-30810500.0
2007-02-28,-53507300.0
2007-03-30,-23819900.0
2007-04-30,-8219100.0
2007-05-31,23438100.0
2007-06-29,46926000.0
2007-07-31,26431200.0
2007-08-31,-7560800.0
2007-09-28,8073300.0
2007-10-31,-8474900.0
2007-11-30,-27947400.0
2007-12-31,-42033800.0
2008-01-31,-63182900.0
2008-02-29,-33066700.0
2008-03-31,-5173900.0
2008-04-30,15789700.0
2008-05-30,-2538800.0
2008-06-30,-21504900.0
2008-07-31,-40400.0
2008-08-29,24234300.0
2008-09-30,-2013900.0
2008-10-31,-41864800.0
2008-11-28,-65846900.0
2008-12-31,-41811400.0
2009-01-30,-14402100.0
2009-02-27,23784400.0
2009-03-31,69477100.0
2009-04-30,36198500.0
2009-05-29,2762600.0
2009-06-30,38702500.0
2009-07-31,67418900.0
2009-08-31,85855800.0
2009-09-30,105535200.0
2009-10-30,79923500.0
2009-11-30,101002000.0
2009-12-31,119890700.0
2010-01-29,102393800.0
2010-02-26,123631100.0
2010-03-31,157273400.0
2010-04-30,180567500.0
2010-05-28,220220800.0
2010-06-30,188701800.0
2010-07-30,156552600.0
2010-08-31,180744500.0
2010-09-30,149766700.0
2010-10-29,178229900.0
2010-11-30,216158900.0
2010-12-31,241403500.0
2011-01-31,271461700.0
2011-02-28,297688000.0
2011-03-31,323753400.0
2011-04-29,347068000.0
2011-05-31,371983400.0
2011-06-30,399721200.0
2011-07-29,376405300.0
2011-08-31,339200500.0
2011-09-30,369627700.0
2011-10-31,343393000.0
2011-11-30,313311100.0
2011-12-30,287338300.0
2012-01-31,220969000.0
2012-02-29,188434400.0
2012-03-30,235353300.0
2012-04-30,284883800.0
2012-05-31,232914700.0
2012-06-29,268254600.0
2012-07-31,298225600.0
2012-08-31,322191300.0
2012-09-28,339811900.0
2012-10-31,355453300.0
2012-11-30,371795500.0
2012-12-31,354963500.0
2013-01-31,389729500.0
2013-02-28,367431500.0
2013-03-28,388868700.0
2013-04-30,414962600.0
2013-05-31,469115100.0
2013-06-28,494294400.0
2013-07-31,523842600.0
2013-08-30,543967100.0
2013-09-30,577837100.0
2013-10-31,615204900.0
2013-11-29,637861200.0
2013-12-31,662850300.0
2014-01-31,697623100.0
2014-02-28,762667100.0
2014-03-31,707788900.0
2014-04-30,646300000.0
2014-05-30,687792000.0
2014-06-30,737208300.0
2014-07-31,692152100.0
2014-08-29,747197500.0
2014-09-30,791631900.0
2014-10-31,847981600.0
2014-11-28,931010400.0
2014-12-31,879819300.0
2015-01-30,933227700.0
2015-02-27,999941000.0
2015-03-31,1080457500.0
2015-04-30,1020636800.0
2015-05-29,1067905200.0
2015-06-30,1026616900.0
2015-07-31,1077022600.0
2015-08-31,1022116000.0
2015-09-30,946709700.0
2015-10-30,1076074300.0
2015-11-30,1181794000.0
2015-12-31,1118951700.0
2016-01-29,1065197400.0
2016-02-29,1120198400.0
2016-03-31,1049010300.0
2016-04-29,881323200.0
2016-05-31,977051200.0
2016-06-30,899059500.0
2016-07-29,952380200.0
2016-08-31,881136500.0
2016-09-30,812485100.0
2016-10-31,738409800.0
2016-11-30,586542900.0
2016-12-30,683287500.0
2017-01-31,756538900.0
2017-02-28,826640500.0
2017-03-31,754746800.0
2017-04-28,791304600.0
2017-05-31,730337100.0
2017-06-30,777024000.0
2017-07-31,808729400.0
2017-08-31,760535900.0
2017-09-29,700703600.0
2017-10-31,604823300.0
2017-11-30,528810300.0
2017-12-29,466618600.0
2018-01-31,524208300.0
2018-02-28,454433100.0
2018-03-29,535226800.0
2018-04-30,479737500.0
2018-05-31,421171300.0
2018-06-29,476172900.0
2018-07-31,511373500.0
2018-08-31,547631700.0
2018-09-28,508304800.0
2018-10-31,457905000.0
2018-11-30,412545500.0
2018-12-31,347512300.0
2019-01-31,412081100.0
2019-02-28,361069400.0
2019-03-29,417356100.0
2019-04-30,454185100.0
2019-05-31,393891400.0
2019-06-28,516040100.0
2019-07-31,405292800.0
2019-08-30,326973800.0
2019-09-30,390286900.0
2019-10-09,378722461.0
